Event ID	Event Date	Source Name	Source Sectors	Source Country	Event Text	CAMEO Code	Intensity	Target Name	Target Sectors	Target Country	Story ID	Sentence Number	Publisher	City	District	Province	Country	Latitude	Longitude
37781799	2023-04-06	Lawmaker (China)	Government,Legislative / Parliamentary	China	Make statement	010	0	France		France	57129501	2	Xinhua News Agency	Beijing		Beijing Shi	China	39.9075	116.397
37781739	2023-04-06	Head of Government (China)	Executive,Executive Office,Government	China	Consult	040	1	Ursula von der Leyen	(National) Major Party,Cabinet,Center Right,Christian,Elite,Executive,Government,Ideological,International Religious,Parties	Germany	57129502	1	Xinhua News Agency	Beijing		Beijing Shi	China	39.9075	116.397
37781741	2023-04-06	Ursula von der Leyen	(National) Major Party,Cabinet,Center Right,Christian,Elite,Executive,Government,Ideological,International Religious,Parties	Germany	Consult	040	1	Head of Government (China)	Executive,Executive Office,Government	China	57129502	1	Xinhua News Agency	Beijing		Beijing Shi	China	39.9075	116.397
37781740	2023-04-06	China		China	Engage in diplomatic cooperation	050	3.5	European Union	International Government Organization,Regional,Regional Diplomatic IGOs		57129502	2	Xinhua News Agency	Beijing		Beijing Shi	China	39.9075	116.397
37781737	2023-04-06	Head of Government (China)	Executive,Executive Office,Government	China	Make statement	010	0	China		China	57129502	4	Xinhua News Agency	Beijing		Beijing Shi	China	39.9075	116.397
37781738	2023-04-06	China		China	Express intent to engage in diplomatic cooperation (such as policy support)	032	4.5	European Union	International Government Organization,Regional,Regional Diplomatic IGOs		57129502	5	Xinhua News Agency	Beijing		Beijing Shi	China	39.9075	116.397
37781935	2023-04-06	Military (Ukraine)	Government,Military	Ukraine	fight with small arms and light weapons	193	-10	Ukraine		Ukraine	57129518	5	ITAR Tass				Ukraine	50.4547	30.5238
37782100	2023-04-06	United States		United States	Make statement	010	0	Israel		Israel	57129543	1	Agence France-Presse	Jerusalem		Jerusalem District	Israel	31.769	35.2163
37781668	2023-04-06	Benjamin Netanyahu	(National) Major Party,Center Right,Elite,Executive,Executive Office,Foreign Ministry,Government,Ideological,International Ethnic,Jews,Parties	Israel	Consult	040	1	Cabinet / Council of Ministers / Advisors (Israel)	Cabinet,Executive,Government	Israel	57129546	4	Ad Dustour				Israel	31.779	35.2253
37781669	2023-04-06	Cabinet / Council of Ministers / Advisors (Israel)	Cabinet,Executive,Government	Israel	Consult	040	1	Benjamin Netanyahu	(National) Major Party,Center Right,Elite,Executive,Executive Office,Foreign Ministry,Government,Ideological,International Ethnic,Jews,Parties	Israel	57129546	4	Ad Dustour				Israel	31.779	35.2253
37781864	2023-04-06	Xi Jinping	(National) Major Party,Elite,Executive,Executive Office,Government,Government Major Party (In Government),Legislative / Parliamentary,Military,Parties,Unicameral	China	Engage in negotiation	046	7	Emmanuel Macron	Elite,Executive,Executive Office,Government	Andorra	57129548	1	Xinhua News Agency	Beijing		Beijing Shi	China	39.9075	116.397
